total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
4.05312e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
8.39233e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.480706,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000169039,0,3.09944e-06,0,3.8147e-06,1,5.00679e-06,1,0,1,0,0,0,0,0,0.01,0.442677,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000258923,0,3.09944e-06,0,1.40667e-05,5,1.5974e-05,5,1.90735e-06,5,3.8147e-06,0,2.38419e-05,4,224,0.01,0.430224,1,5,0,650,4,0,32,4,0,0,1,0:1;1:4;
0.000386953,0,3.09944e-06,0,2.90871e-05,12,3.38554e-05,12,4.76837e-06,12,8.82149e-06,0,6.81877e-05,11,690,0.01,0.265063,1,12,0,1770,11,0,128,11,0,0,1,0:1;1:11;
0.000435114,0,3.09944e-06,0,3.19481e-05,13,3.69549e-05,13,5.96046e-06,13,8.82149e-06,0,7.00951e-05,12,736,0.01,0.265063,1,13,0,1930,12,0,128,12,0,0,1,0:1;1:12;
0.000478983,0,3.09944e-06,0,3.40939e-05,14,3.88622e-05,14,5.96046e-06,14,8.82149e-06,0,7.10487e-05,13,782,0.01,0.227433,1,14,0,2090,13,0,128,13,0,0,1,0:1;1:13;
0.000522137,0,3.09944e-06,0,3.60012e-05,15,4.19617e-05,15,5.96046e-06,15,9.77516e-06,0,7.31945e-05,14,828,0.01,0.125079,1,15,0,2250,14,0,128,14,0,0,1,0:1;1:14;
0.00379109,0.00366092,3.09944e-06,0.00363183,0.00105667,535,0.00115323,489,0.000199556,482,0.000140667,1,0.000627279,481,28710,0.01,0.125079,1,482,1,76970,481,1,4096,481,0,0,1,1:481;
0.00388408,0.00366092,3.09944e-06,0.00363183,0.00105667,535,0.00115323,489,0.000199556,482,0.000140667,1,0.000627279,481,28710,0.01,0.125079,1,482,1,76682,481,1,4096,481,0,0,1,1:475;
0.00401497,0.00366092,1.0252e-05,0.00363183,0.00108624,550,0.00117588,498,0.000202656,490,0.000141621,1,0.00063777,489,29102,0.02,0.123038,2,490,1,77968,488,1,4096,489,0,0,1,1:475;2:8;
0.00727391,0.00700092,1.0252e-05,0.00696683,0.00206256,1064,0.00229573,963,0.000357151,944,0.00025177,2,0.00127411,943,58692,0.02,0.123038,2,944,2,150606,942,1,8192,943,0,0,1,1:474;2:462;
0.00737214,0.00700092,1.0252e-05,0.00696683,0.00206256,1064,0.00229573,963,0.000357151,944,0.00025177,2,0.00127411,943,58692,0.02,0.123038,2,944,2,150558,942,1,8192,943,0,0,1,1:473;2:462;
0.00751114,0.00700092,1.33514e-05,0.00696683,0.00209737,1082,0.00232172,974,0.000361681,954,0.000254631,2,0.00128555,953,59182,0.02,0.105112,2,954,2,152160,951,1,8192,953,0,0,1,1:473;2:472;
