total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
5.00679e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
0.000104189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.480843,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000188112,0,1.90735e-06,0,3.8147e-06,1,4.05312e-06,1,0,1,0,0,0,0,0,0.01,0.446097,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000289202,0,1.90735e-06,0,1.4782e-05,5,1.5974e-05,5,3.09944e-06,5,2.86102e-06,0,2.81334e-05,4,224,0.01,0.426256,1,5,0,650,4,0,32,4,0,0,1,0:1;1:4;
0.000438213,0,1.90735e-06,0,3.17097e-05,12,3.57628e-05,12,6.19888e-06,12,8.10623e-06,0,8.41618e-05,11,690,0.01,0.267115,1,12,0,1770,11,0,128,11,0,0,1,0:1;1:11;
0.00049901,0,1.90735e-06,0,3.55244e-05,14,4.14848e-05,14,7.15256e-06,14,1.0252e-05,0,8.72612e-05,13,782,0.01,0.22538,1,14,0,2090,13,0,128,13,0,0,1,0:1;1:13;
0.000550032,0,1.90735e-06,0,3.86238e-05,15,4.43459e-05,15,7.15256e-06,15,1.0252e-05,0,9.03606e-05,14,828,0.01,0.122206,1,15,0,2250,14,0,128,14,0,0,1,0:1;1:14;
0.00424409,0.00408888,1.90735e-06,0.00406599,0.00121999,541,0.00132513,494,0.000213623,482,0.000188589,1,0.00066328,481,28710,0.01,0.122206,1,482,1,76970,481,1,4096,481,0,0,1,1:481;
0.00434804,0.00408888,1.90735e-06,0.00406599,0.00121999,541,0.00132513,494,0.000213623,482,0.000188589,1,0.00066328,481,28710,0.01,0.122206,1,482,1,76682,481,1,4096,481,0,0,1,1:475;
0.00449419,0.00408888,9.77516e-06,0.00406599,0.00125098,556,0.00134993,503,0.000220537,490,0.000190735,1,0.00067544,489,29102,0.02,0.120301,2,490,1,77968,488,1,4096,489,0,0,1,1:475;2:8;
0.00812507,0.00780988,9.77516e-06,0.00778198,0.00233173,1076,0.00257254,966,0.000409603,946,0.000319004,2,0.00139284,945,58790,0.02,0.120301,2,946,2,150926,944,1,8192,945,0,0,1,1:474;2:464;
0.00823808,0.00780988,9.77516e-06,0.00778198,0.00233173,1076,0.00257254,966,0.000409603,946,0.000319004,2,0.00139284,945,58790,0.02,0.120301,2,946,2,150686,944,1,8192,945,0,0,1,1:470;2:463;
0.00839114,0.00780988,1.35899e-05,0.00778198,0.00237083,1094,0.00260472,977,0.00041461,956,0.000319004,2,0.00140572,955,59280,0.02,0.105249,2,956,2,152288,953,1,8192,955,0,0,1,1:470;2:473;
0.0103161,0.00780988,1.35899e-05,0.00778198,0.00294781,1367,0.00323081,1219,0.000500679,1189,0.00039196,2,0.00178552,1188,70697,0.02,0.101144,2,1189,2,189568,1186,1,16384,1188,0,0,1,1:470;2:706;
0.0118701,0.0113909,1.35899e-05,0.011358,0.00342989,1600,0.00373793,1423,0.000599384,1388,0.00043726,3,0.00205779,1388,80457,0.02,0.101144,2,1388,3,221406,1385,1,16384,1387,0,0,1,1:469;2:905;
