total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.90735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
4.69685e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.483306,0,1,0,8,1,0,8,0,0,0,1,0:1;
8.98838e-05,0,9.53674e-07,0,2.14577e-06,1,1.90735e-06,1,0,1,0,0,0,0,0,0.01,0.446371,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000154018,0,9.53674e-07,0,7.39098e-06,5,8.58307e-06,5,3.33786e-06,5,0,0,2.28882e-05,4,224,0.01,0.42913,1,5,0,650,4,0,32,4,0,0,1,0:1;1:4;
0.000231028,0,9.53674e-07,0,1.74046e-05,12,1.83582e-05,12,4.52995e-06,12,9.53674e-07,0,5.07832e-05,11,690,0.01,0.264652,1,12,0,1770,11,0,128,11,0,0,1,0:1;1:11;
0.000264883,0,9.53674e-07,0,1.95503e-05,14,2.14577e-05,14,5.48363e-06,14,9.53674e-07,0,5.26905e-05,13,782,0.01,0.226749,1,14,0,2090,13,0,128,13,0,0,1,0:1;1:13;
0.000293016,0,9.53674e-07,0,2.0504e-05,15,2.3365e-05,15,5.48363e-06,15,2.14577e-06,0,5.36442e-05,14,828,0.01,0.123437,1,15,0,2250,14,0,128,14,0,0,1,0:1;1:14;
0.000449896,0.000375032,9.53674e-07,0.000369072,6.31809e-05,50,5.84126e-05,38,6.4373e-06,39,3.29018e-05,1,7.31945e-05,38,2124,0.01,0.123437,1,39,1,6090,38,1,512,38,0,0,1,1:38;
0.00048399,0.000375032,9.53674e-07,0.000369072,6.31809e-05,50,5.84126e-05,38,6.4373e-06,39,3.29018e-05,1,7.31945e-05,38,2124,0.01,0.123437,1,39,1,5802,38,1,512,38,0,0,1,1:32;
0.000697851,0.000375032,4.05312e-06,0.000369072,8.51154e-05,68,7.43866e-05,49,8.58307e-06,49,3.38554e-05,1,0.000206232,48,3014,0.02,0.104428,2,49,1,7408,47,1,512,48,0,0,1,1:32;2:10;
0.000826836,0.000691891,4.05312e-06,0.000683069,0.000122309,99,0.000102997,70,1.50204e-05,70,4.00543e-05,2,0.000222921,69,4043,0.02,0.104428,2,70,2,10766,68,1,1024,69,0,0,1,1:31;2:31;
0.000855923,0.000691891,4.05312e-06,0.000683069,0.000122309,99,0.000102997,70,1.50204e-05,70,4.00543e-05,2,0.000222921,69,4043,0.02,0.104428,2,70,2,10430,68,1,1024,69,0,0,1,1:26;2:29;
0.000939846,0.000691891,6.19888e-06,0.000683069,0.000143766,116,0.000120878,81,1.50204e-05,80,4.29153e-05,2,0.000232697,79,4533,0.02,0.0689874,2,80,2,12032,77,1,1024,79,0,0,1,1:26;2:39;
0.00105095,0.000861883,6.19888e-06,0.000851154,0.000177622,146,0.000145674,97,2.09808e-05,97,4.60148e-05,3,0.000246763,96,5366,0.02,0.0689874,2,97,3,14750,94,1,1024,96,0,0,1,1:25;2:56;
0.0010829,0.000861883,6.19888e-06,0.000851154,0.000177622,146,0.000145674,97,2.09808e-05,97,4.60148e-05,3,0.000246763,96,5366,0.02,0.0689874,2,97,3,13886,94,1,1024,96,0,0,1,1:17;2:46;
0.00761485,0.00716877,0.000115395,0.007092,0.00305605,2631,0.00194716,1317,0.000175714,839,0.000171661,56,0.00115252,1017,59818,0.04341,0.0613355,3,839,56,132328,782,1,8192,830,2,6,1,1:9;2:127;3:265;4:345;
0.00773692,0.00736475,0.000115395,0.00728703,0.00308633,2662,0.00197911,1339,0.000179768,853,0.000173569,57,0.00116467,1032,60558,0.04341,0.0613355,3,853,57,134564,796,1,8192,844,2,6,1,1:9;2:126;3:279;4:345;
0.00784993,0.00736475,0.000115395,0.00728703,0.00308633,2662,0.00197911,1339,0.000179768,853,0.000173569,57,0.00116467,1032,60558,0.04341,0.0613355,3,853,57,122084,796,1,8192,844,2,6,1,1:8;2:91;3:202;4:198;
0.030081,0.0288188,0.000797272,0.0283182,0.0169065,15676,0.00673509,4889,0.000255585,1273,0.000262737,349,0.00195217,2013,89526,0.0547783,0.0547783,4,1072,153,178956,920,1,16384,1228,29,15,1,1:2;2:36;3:297;4:238;5:45;
0.0301418,0.0289028,0.000797272,0.0284002,0.0169368,15710,0.00673509,4889,0.000255585,1273,0.000262737,350,0.00195217,2013,89526,0.0547783,0.0547783,4,1071,153,178902,920,1,16384,1228,29,15,1,1:2;2:36;3:296;4:238;5:45;
0.030272,0.0289028,0.000797272,0.0284002,0.0169368,15710,0.00673509,4889,0.000255585,1273,0.000262737,350,0.00195217,2013,89526,0.0547783,0.0547783,4,1071,153,149286,920,0,16384,1228,29,15,1,
0.030561,0.0289028,0.00105834,0.0284002,0.0169368,15710,0.00673509,4889,0.000255585,1273,0.000262737,350,0.00195217,2013,89526,0.231823,0.0547783,4,152,153,46352,0,0,16384,1228,29,15,1,
0.0306659,0.0289028,0.00105834,0.0284002,0.0169368,15710,0.00673509,4889,0.000255585,1273,0.000262737,350,0.00195217,2013,89526,0.231823,0.0547783,4,152,153,46352,0,0,16384,1228,29,15,1,
0.0307629,0.0289028,0.00105834,0.0284002,0.0169368,15710,0.00673509,4889,0.000255585,1273,0.000262737,350,0.00195217,2013,89526,0.231823,0.0547783,4,152,153,46360,0,0,16384,1228,29,15,1,
